# Resolvers to which Google may not return AAAA records.
# Copyright 2012 Google Inc. All Rights Reserved.
# Last updated: 2012-11-25.

192.0.2.0/24
2001:db8::/32
200.93.227.5/32          # AS27947 Ecuador
202.115.64.33/32         # AS4538 China
202.38.64.1/32           # AS4538 China
210.80.58.210/32         # AS703 Australia
202.112.144.236/32       # AS4538 China
221.208.179.246/32       # AS4837 China
202.119.32.12/32         # AS4538 China
217.169.229.5/32         # AS15466 Netherlands
81.26.0.10/32            # AS24848 Poland
192.160.130.18/32        # AS20306 United States
202.15.112.34/32         # AS2506 Japan
202.29.65.122/32         # AS4621 Thailand
202.195.128.10/32        # AS4538 China
182.148.202.90/32        # AS4134 China
94.245.126.34/32         # AS8075 United Kingdom
212.90.160.2/32          # AS12593 Ukraine
208.85.151.4/32          # AS19073 United States
202.205.80.132/32        # AS4538 China
213.148.160.1/32         # AS16301 Russia
109.254.49.6/32          # AS20590 Ukraine
200.63.128.183/32        # AS22927 Argentina
202.196.64.14/32         # AS4538 China
202.38.64.56/32          # AS4538 China
210.229.63.2/32          # AS9601 Japan
131.112.181.30/32        # AS9367 Japan
202.204.160.2/32         # AS4538 China
219.113.19.202/32        # AS17675 Japan
220.178.4.195/32         # AS4134 China
202.116.81.166/32        # AS4538 China
195.234.226.245/32       # AS25275 Switzerland
202.196.64.22/32         # AS4538 China
163.26.1.1/32            # AS1659 Taiwan
210.45.240.238/32        # AS4538 China
210.27.80.2/32           # AS4538 China
70.39.231.44/32          # AS4436 United States
202.29.9.46/32           # AS45134 Thailand
210.233.168.10/32        # AS9352 Japan
210.229.63.1/32          # AS9601 Japan
202.118.176.2/32         # AS4538 China
195.202.64.29/32         # AS9129 Kenya
79.142.240.10/32         # AS50821 Sweden
158.108.2.70/32          # AS9411 Thailand
209.244.4.106/32         # AS3356 United States
202.196.64.17/32         # AS4538 China
64.104.123.144/32        # AS109 Taiwan
61.135.169.70/32         # AS4808 China
202.112.170.10/32        # AS4538 China
202.118.48.252/32        # AS4538 China
163.28.136.2/32          # AS1659 Taiwan
195.194.77.11/32         # AS786 United Kingdom
